회사명,종목코드,회계년도,종가,EBITDA,ROE,자산,당기순이익,판관비,상장주식수,시가총액,수익률,PER,PBR,PCR,PSR,ROA,NEW
(주)대웅제약,69620,2018/12,188500.0,73005.86,-2.99,1207846352.0,-15417245.0,385376520.0,11586575.0,2184069387500.0,14.589665653495443,1406.0149999999999,4.52,38.74,2.205,-1.2764243543453613,0.17644884462261617
(주)대웅제약,69620,2019/12,137500.0,63188.48,4.34,1245668149.0,28865606.0,433606330.0,11586575.0,1593154062500.0,-27.055702917771885,98.81,4.395,52.614999999999995,1.99,2.3172789657640993,0.2721684865301594
(주)대웅제약,69620,2020/12,165000.0,45622.41,2.38,1366907921.0,24148066.0,429961998.0,11586575.0,1911784875000.0,19.999999999999996,645.4499999999999,4.34,20.595,2.145,1.7666198014518637,0.2249008262501292
(주)대웅제약,69620,2021/12,148000.0,128424.67,4.3,1415179681.0,30257003.0,455843718.0,11586575.0,1714813100000.0,-10.303030303030303,52.6,4.09,39.265,1.7850000000000001,2.138032605062537,0.26582705602144047
(주)대웅제약,69620,2022/12,158500.0,138028.4,7.15,1563340614.0,39163169.0,543160411.0,11586575.0,1836472137500.0,7.094594594594605,38.475,3.925,20.2,1.6099999999999999,2.5050950924761173,0.2957629467438626
(주)대한항공,3490,2013/12,31200.0,1620511.8,-8.54,22920438008.0,-383555366.0,1114644236.0,58675438.0,1830673665600.0,-80.31545741324922,0.0,1.3399999999999999,1.4649999999999999,0.22000000000000003,-1.6734207516720507,0.6088710713138911
(주)대한항공,3490,2014/12,47450.0,1949656.51,-20.27,23465724376.0,-457822464.0,1125156971.0,58675438.0,2784149533100.0,52.08333333333333,0.0,1.46,1.3199999999999998,0.21000000000000002,-1.9510263423542396,0.40412950440459944
(주)대한항공,3490,2015/12,27700.0,2491258.67,-25.23,24180351113.0,-562967287.0,1144346106.0,72839744.0,2017660908800.0,-41.622760800843,0.0,1.435,1.085,0.255,-2.3282014573284413,0.5671647307081931
(주)대한항공,3490,2016/12,27350.0,2808451.93,-27.24,23956534894.0,-556844431.0,1175822058.0,72839744.0,1992166998400.0,-1.2635379061371799,0.0,1.705,0.7849999999999999,0.19,-2.3243947151115902,0.5902226364277474
(주)대한항공,3490,2017/12,33850.0,2597598.25,29.37,24648674122.0,801897025.0,1161276914.0,94844634.0,3210490860900.0,23.765996343692876,3.255,0.895,1.05,0.25,3.2533069366366947,0.3617131972381501
(주)대한항공,3490,2018/12,33050.0,2311374.8,-6.44,25574772722.0,-198649078.0,1376449758.0,94844634.0,3134615153700.0,-2.363367799113736,0.0,1.2,1.2,0.245,-0.7767383904417557,0.43911283858092837
(주)대한항공,3490,2019/12,28500.0,2271143.26,-22.61,27014118935.0,-622761502.0,1286587520.0,94844634.0,2703072069000.0,-13.767019667170954,0.0,1.195,1.325,0.25,-2.305318576180319,0.4759723333887921
(주)대한항공,3490,2020/12,27200.0,2109587.45,-7.22,25190061074.0,-230018635.0,652827200.0,174209713.0,4738504193600.0,-4.561403508771933,0.0,0.66,1.43,0.28,-0.9131325022368224,0.13777073382814195
(주)대한항공,3490,2021/12,29350.0,3081235.98,8.55,26671903184.0,578782033.0,686808944.0,347820825.0,10208541213750.0,7.904411764705888,14.99,1.4249999999999998,2.7350000000000003,1.09,2.170006500875427,0.06727787346099257
(주)대한항공,3490,2022/12,22950.0,4386973.71,21.95,28997701022.0,1729502852.0,1020067635.0,368220661.0,8450664169950.0,-21.805792163543437,5.495,1.1199999999999999,1.82,0.73,5.964275756508626,0.12070857562027996
(주)더블유게임즈,192080,2019/12,49850.0,82418.57,18.93,1074710470.0,110292805.0,359239331.0,18260502.0,910286024700.0,117.21132897603485,10.209999999999999,1.755,15.079999999999998,5.62,10.26255983157957,0.3946444537785729
(주)더블유게임즈,192080,2020/12,60200.0,99741.16,16.94,1023166746.0,124794300.0,463991867.0,18374502.0,1106145020400.0,20.762286860581746,8.355,1.605,12.98,4.65,12.196868251228329,0.41946748251166294
(주)더블유게임즈,192080,2021/12,57900.0,79420.38,16.5,1381904218.0,156282035.0,433696362.0,18374502.0,1063883665800.0,-3.8205980066445155,10.145,1.4900000000000002,18.575000000000003,5.960000000000001,11.309179968072144,0.4076539342991763
(주)더블유게임즈,192080,2022/12,47250.0,60921.8,-16.82,1235636098.0,-221064093.0,433404590.0,18374502.0,868195219500.0,-18.393782383419687,0.0,1.4,21.125,4.275,-17.89071178462771,0.4992017696775627
(주)동서,26960,2016/12,27550.0,35762.18,10.37,1327035012.0,122358706.0,40514981.0,99700000.0,2746735000000.0,-41.6931216931217,25.104999999999997,2.6950000000000003,30.68,6.4,9.22045800551945,0.014750232912894764
(주)동서,26960,2017/12,29100.0,36397.0,10.21,1387720936.0,126070591.0,46930413.0,99700000.0,2901270000000.0,5.6261343012704135,23.770000000000003,2.5300000000000002,30.285,5.775,9.084722131770159,0.016175817142148094
(주)동서,26960,2018/12,17900.0,31513.91,9.39,1432202480.0,120396957.0,47101707.0,99700000.0,1784630000000.0,-38.487972508591064,19.68,1.9250000000000003,26.425,4.635,8.406420089427579,0.026392981738511626
(주)동서,26960,2019/12,17400.0,28075.36,10.53,1478277016.0,140545752.0,45339974.0,99700000.0,1734780000000.0,-2.7932960893854775,14.015,1.5150000000000001,15.575,4.345000000000001,9.507402907494031,0.02613586391357982
(주)동서,26960,2020/12,33950.0,36173.97,8.61,1525770284.0,120588759.0,37052387.0,99700000.0,3384815000000.0,95.11494252873563,21.689999999999998,1.935,33.565,5.75,7.903467531420345,0.010946650555495648
(주)동서,26960,2021/12,31000.0,35515.37,7.91,1582577880.0,115145659.0,40620046.0,99700000.0,3090700000000.0,-8.689248895434465,32.015,2.665,44.605000000000004,7.305,7.275828915288517,0.013142668651114634
(주)동서,26960,2022/12,20200.0,37084.75,11.33,1627852719.0,169611049.0,42561551.0,99700000.0,2013940000000.0,-34.83870967741935,15.04,1.7349999999999999,30.535,4.885,10.419311711700376,0.021133475178009276
(주)두산,150,2013/12,139500.0,247433.82,4.13,31166041855.0,130167997.0,2523333407.0,20882071.0,2913048904500.0,590.5940594059406,23.65,1.9,15.3,2.145,0.4176597002776502,0.8662173172245828
(주)두산,150,2014/12,103500.0,312391.04,2.2,31369299869.0,33249467.0,2379481981.0,21270888.0,2201536908000.0,-25.806451612903224,17.085,1.6,12.91,1.6,0.10599365347282753,1.080827658329678
(주)두산,150,2015/12,88500.0,270477.16,-14.31,31556310459.0,-1700809954.0,2727683533.0,21270888.0,1882473588000.0,-14.492753623188403,25.525,1.595,14.96,1.68,-5.389761760044167,1.4489890059482737
(주)두산,150,2016/12,105000.0,280962.07,7.91,28664805143.0,50416444.0,1959700186.0,21270888.0,2233443240000.0,18.644067796610166,16.525,1.2999999999999998,15.2,1.23,0.17588273755390166,0.877434514968914
(주)두산,150,2017/12,113000.0,335744.83,1.67,28769021898.0,45949111.0,1966577157.0,19198003.0,2169374339000.0,7.619047619047614,15.11,1.5150000000000001,15.2,1.18,0.15971732081442208,0.9065181244406708
