회사명,거래소코드,회계년도,종가,PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),EV/EBITDA(IFRS),자기자본순이익률(IFRS),자산(*)(IFRS),당기순이익(손실)(IFRS),판매비와 관리비(물류원가 등 포함)(*)(IFRS)
(주)셀트리온,068270,2017/12,,0,0,0,0,0,0,0,0,48.39,16.17,3138184505,362083993,141382907
(주)셀트리온,068270,2018/12,222500,206.16,103.61,28.49,14.32,139.4,70.06,57,28.64,64.82,9.51,3370639262,238274200,195162763
(주)셀트리온,068270,2019/12,181000,100.44,60.84,15.51,9.39,65.05,39.4,29.64,17.95,45.77,10.59,3674522702,289754685,208023653
(주)셀트리온,068270,2020/12,359000,105.83,36.33,23.36,8.02,170.53,58.53,32.21,11.06,55.85,16.35,4781125289,514270058,245688593
(주)셀트리온,068270,2021/12,198000,93.34,46.31,19.77,9.81,66.99,33.24,33.27,16.51,30.25,15.52,5315369384,575982802,212706576
(주)셀트리온,068270,2022/12,160500,59.18,38.26,10.83,7,1105.71,714.85,15.62,10.1,28.61,12.52,5571483130,511383102,266520456
(주)신세계,004170,2013/12,252500,22.43,16.16,1.2,0.87,12.7,9.16,1.75,1.26,13,5.5,5379701531,120288669,944704727
(주)신세계,004170,2014/12,181000,19.08,13.06,1.06,0.73,7.29,4.99,1.69,1.16,11.37,5.66,5535161424,133412261,949995696
(주)신세계,004170,2015/12,230000,7.41,3.95,1.04,0.56,14.58,7.77,1.97,1.05,11.44,14.96,5405620293,395319478,944152836
(주)신세계,004170,2016/12,176000,14.39,10.71,0.78,0.58,9.29,6.91,1.39,1.04,9.52,5.45,5871837064,159039844,1062115033
(주)신세계,004170,2017/12,300000,21.3,11.4,0.98,0.52,9.78,5.23,1.82,0.97,11.95,4.64,6071901542,142101940,1094665120
(주)신세계,004170,2018/12,256000,25.07,12.92,1.51,0.78,12.78,6.59,2.69,1.39,10.01,5.95,6089701363,186754859,1151703485
(주)신세계,004170,2019/12,289000,4.82,2.98,0.91,0.56,11.02,6.81,2.18,1.35,10.89,20.43,7265903911,705956105,1050759270
(주)신세계,004170,2020/12,239500,15.34,9.15,0.92,0.55,12.25,7.31,2.25,1.34,13.76,5.8,7535083634,214085442,1040113679
(주)신세계,004170,2021/12,254000,14.75,9.52,0.87,0.56,5.51,3.56,1.93,1.25,10.83,5.94,7721030612,218625610,1110985414
(주)신세계,004170,2022/12,220000,10.94,8.15,0.69,0.52,5.57,4.15,1.45,1.08,8.74,6.41,8345250728,247588341,1209779195
(주)신세계인터내셔날,031430,2013/12,90000,22.91,16.79,1.64,1.2,27.37,20.06,0.86,0.63,19.59,7.17,742342439,29759160,345139652
