회사명,거래소코드,회계년도,종가,PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),EV/EBITDA(IFRS),자기자본순이익률(IFRS연결),자산(*)(IFRS연결),당기순이익(손실)(IFRS연결),판매비와 관리비(물류원가 등 포함)(*)(IFRS연결),연구개발비(IFRS연결),매출액(수익)(*)(IFRS연결),* (정상)영업손익(보고서기재)(IFRS연결)
(주)신한금융지주회사,055550,2019/12,43350,,,,,,,,,,,,,,,,
(주)신한금융지주회사,055550,2020/12,32050,,,,,,,,,,,,,,,,
(주)아모레퍼시픽,090430,2015/12,414500,52.06,4.02,9.08,0.7,52.2,4.04,7.4,0.57,32.8,18.62,4443101431,584796055,2824311249,79951000,4766627213,772909945
(주)아모레퍼시픽,090430,2016/12,321500,51.48,35.15,8.68,5.93,53.46,36.51,7.16,4.89,23.29,17.7,5181577130,645728660,3372575874,98792000,5645440161,848103454
(주)아모레퍼시픽,090430,2017/12,304500,79.71,51.37,6.75,4.35,68.64,44.23,6.98,4.5,31.05,9.81,5375684239,398003012,3147700717,91848000,5123825882,596399137
(주)아모레퍼시픽,090430,2018/12,209500,89.46,36.56,6.21,2.54,49.12,20.08,6.69,2.74,23.27,7.75,5371137218,334844564,3360988103,95559000,5277844562,481980828
(주)아모레퍼시픽,090430,2019/12,200000,50.41,24.73,4.03,1.98,35.21,17.27,4.24,2.08,18.61,5.36,5989007791,223761028,3651792018,96391000,5580142193,427834597
(주)아모레퍼시픽,090430,2020/12,206000,158.93,93.51,3.97,2.33,50.65,29.8,5.5,3.24,34.25,0.78,5701918176,21869012,3023771855,89073000,4432179039,143009119
(주)아모레퍼시픽그룹,002790,2015/12,148000,3498.54,291.54,92.08,7.67,3618.45,301.54,2170.36,180.86,309.7,10.74,6147969195,673945276,3332605007,78719000,5661205541,913640954
(주)아모레퍼시픽그룹,002790,2016/12,133000,355.54,230.11,9.87,6.39,325.16,210.45,192.5,124.59,234.77,12.76,7088395210,811528531,3973861405,100130000,6697560670,1082811426
(주)아모레퍼시픽그룹,002790,2017/12,141000,194.01,128.54,8.62,5.71,207.76,137.65,143.23,94.9,180.73,6.95,7335236006,489547958,3683429626,93437000,6029063927,731492193
(주)아모레퍼시픽그룹,002790,2018/12,72700,284.04,103.19,8.33,3.03,290.42,105.51,191.53,69.58,131.18,4.65,7387374444,376271212,3910011120,97514000,6078179209,549473516
(주)아모레퍼시픽그룹,002790,2019/12,82700,66.12,38.17,4,2.31,59.9,34.58,50.9,29.38,55.76,4.12,8281393134,282404952,4144171013,98613000,6284255176,498249818
(주)아모레퍼시픽그룹,002790,2020/12,54900,0,0,4.63,2.17,276.67,129.83,169.83,79.69,148.92,0.31,7788743600,22047682,3408296541,91006000,4930083150,150661049
(주)에스원,012750,2015/12,99700,21.81,13.25,5.35,3.25,13.27,8.06,2.29,1.39,11.65,16.58,1394426507,155434905,363594524,18593293,1799570545,172558272
(주)에스원,012750,2016/12,87700,31.97,23.88,4.9,3.66,16.55,12.36,2.43,1.82,9.24,13.51,1460376647,140545798,343655893,17572165,1830176817,205677783
(주)에스원,012750,2017/12,107000,28.98,22.13,4.14,3.16,14.06,10.74,2.12,1.62,11.29,12.42,1581536979,143326120,363710593,17797822,1942266128,202574357
(주)에스원,012750,2018/12,100500,40.42,31.66,3.87,3.03,17.49,13.7,2.04,1.6,11,8.34,1682854294,102968775,347984429,14520898,2018339271,199128130
(주)에스원,012750,2019/12,93700,29.37,24.68,3.69,3.1,15.02,12.62,1.95,1.64,9.74,11.32,1794959719,146641282,346917277,12522876,2151521516,196822007
(주)에스원,012750,2020/12,85000,29.87,20.58,3.37,2.33,11.92,8.21,1.81,1.25,8.69,10.48,1906689693,142089585,346757074,12118031,2223340509,204462688
(주)엔씨소프트,036570,2015/12,213000,29.22,19.52,3.2,2.14,23.62,15.78,8.89,5.94,16.26,10.57,2219197320,166350442,398148085,100074712,838297603,237466378
(주)엔씨소프트,036570,2016/12,247500,24.68,16.28,3.7,2.44,67.48,44.51,9.05,5.97,16.27,14.9,2360802862,271381872,467214224,119625951,983556874,328762462
(주)엔씨소프트,036570,2017/12,447500,23.05,11.21,4.22,2.05,18.36,8.93,7.03,3.42,15.47,19.14,3526567161,444043112,962201802,189461890,1758721722,585018962
(주)엔씨소프트,036570,2018/12,466500,25.87,16.51,4.99,3.18,27.21,17.37,7.41,4.73,14.69,16.44,2941278714,421467651,1100186196,274677676,1715115508,614929312
(주)엔씨소프트,036570,2019/12,541000,40.18,30.3,5.21,3.93,26.05,19.64,8.1,6.11,20.3,14.72,3346377400,359154723,1222193004,309666510,1701185423,478992419
(주)엔씨소프트,036570,2020/12,931000,34.88,17.63,7.34,3.71,29.35,14.84,9.76,4.93,22.64,20.83,4081208897,586612599,1591390506,381520794,2416184212,824793706
(주)엘에스,006260,2015/12,40350,16.99,8.04,1.04,0.49,19.42,9.19,13.6,6.43,14.38,-4.19,9881465000,-73454000,1033512000,59742000,9999749000,271955000
(주)엘에스,006260,2016/12,59300,53.16,26.22,1.18,0.58,64.65,31.88,25.39,12.52,36.94,7.07,9713037000,215138000,940036000,60596000,9621313000,459214000
(주)엘에스,006260,2017/12,72500,40.28,26.71,1.57,1.04,40.98,27.18,24.72,16.4,29.95,11.48,9978904000,364831000,857081000,47328000,9515114000,532167000
(주)엘에스,006260,2018/12,49100,16.37,8.54,1.47,0.76,15.69,8.19,12.24,6.39,8.42,13.73,10490289000,487659000,900831000,53412000,10110159000,509088000
(주)엘에스,006260,2019/12,47800,38.16,24.72,0.63,0.41,25.16,16.3,22.62,14.66,35.04,0.8,10763512000,92824000,977535000,60297000,10176243000,351981000
(주)엘에스,006260,2020/12,71400,20.37,6.32,0.76,0.24,31.66,9.82,15.06,4.67,18.73,3.94,11660540000,194725000,954838000,76066000,10444316000,419168000
