회사명,거래소코드,회계년도,상장폐지일,소속코드,상장일,매출액증가율(IFRS),자기자본증가율(IFRS),순이익증가율(IFRS),총자본증가율(IFRS),매출액순이익률(IFRS),부채비율(IFRS),총자본순이익률(IFRS)
(주)네오셈,253590,2019/12,,5,2018/04/04,0,0,0,0,-6.87,65.06,-2.85
(주)네오셈,253590,2020/12,,5,2018/04/04,86.73,9.51,0,-2.02,11.03,47.69,8.63
(주)네오셈,253590,2021/12,,5,2018/04/04,-26.89,12.51,-24.83,36.77,11.35,79.54,5.54
(주)네오셈,253590,2022/12,,5,2018/04/04,111.57,20.56,129.23,14.11,12.29,69.94,10.26
(주)네오오토,212560,2018/12,,5,2015/11/18,-10.14,6.94,40.21,3.94,5.03,83.79,4.15
(주)네오오토,212560,2019/12,,5,2015/11/18,2.77,2.35,-56.92,-1.01,2.11,77.75,1.76
(주)네오오토,212560,2020/12,,5,2015/11/18,-0.8,4.21,41.9,2.39,3.02,74.64,2.48
(주)네오오토,212560,2021/12,,5,2015/11/18,21.16,7.7,85.3,1.47,4.61,64.54,4.51
(주)네오오토,212560,2022/12,,5,2015/11/18,15.22,8.75,19.54,5.58,4.79,59.74,5.21
(주)네오위즈,095660,2018/12,,5,2007/07/02,45.6,-1.29,0,3.23,-3.06,13.44,-1.31
(주)네오위즈,095660,2019/12,,5,2007/07/02,30.24,-0.33,0,-1.3,3.21,12.34,1.77
(주)네오위즈,095660,2020/12,,5,2007/07/02,10.7,21.07,614.9,23.01,20.7,14.14,11.41
(주)네오위즈,095660,2021/12,,5,2007/07/02,-3.66,15.68,44.92,14.61,31.14,13.09,13.97
(주)네오위즈,095660,2022/12,,5,2007/07/02,1.37,-4.16,-92.67,-6.34,2.25,10.52,0.99
(주)네오위즈홀딩스,042420,2018/12,,5,2000/06/27,25.78,-2.53,0,-2.35,-716.17,0.91,-1.6
(주)네오위즈홀딩스,042420,2019/12,,5,2000/06/27,168.15,0.26,0,-0.21,309.99,0.43,1.88
(주)네오위즈홀딩스,042420,2020/12,,5,2000/06/27,-46.81,-4.75,0,-4.81,-353.93,0.37,-1.17
(주)네오위즈홀딩스,042420,2021/12,,5,2000/06/27,-15.56,-1.34,0,-1.1,605.49,0.61,1.75
(주)네오위즈홀딩스,042420,2022/12,,5,2000/06/27,-7.96,-2.16,0,-2.38,-26.67,0.38,-0.07
(주)네오이뮨텍,950220,2019/12,,5,2021/03/16,,,,,,,
(주)네오이뮨텍,950220,2020/12,,5,2021/03/16,0,0,0,0,0,13.74,-31.2
(주)네오이뮨텍,950220,2021/12,,5,2021/03/16,0,97.7,0,96.52,0,13.07,-33.69
(주)네오이뮨텍,950220,2022/12,,5,2021/03/16,0,-27.1,0,-26.04,0,14.7,-38.98
(주)네오크레마,311390,2018/12,,5,2019/08/22,0,0,0,0,16.38,39.47,11.03
(주)네오크레마,311390,2019/12,,5,2019/08/22,-15.16,63.89,-64.65,42.05,6.82,20.88,3.22
(주)네오크레마,311390,2020/12,,5,2019/08/22,19.93,7.46,80.39,5.7,10.26,18.91,4.81
(주)네오크레마,311390,2021/12,,5,2019/08/22,3.54,2.44,-56.62,2.97,4.3,19.52,2
(주)네오크레마,311390,2022/12,,5,2019/08/22,4.75,19.86,0,59.64,-3.7,59.2,-1.37
(주)네오티스,085910,2018/12,,5,2007/10/01,3.96,-1.53,0,7.27,6.64,85.62,3.69
(주)네오티스,085910,2019/12,,5,2007/10/01,-5.82,-2.37,-54.26,0.3,3.22,90.69,1.63
(주)네오티스,085910,2020/12,,5,2007/10/01,-10.42,-4.05,-88.89,17.5,0.4,133.49,0.17
(주)네오티스,085910,2021/12,,5,2007/10/01,19.56,30.59,2633.7,10.23,9.14,97.09,3.99
