,회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),현금및현금성자산(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),원재료(부재료)(IFRS연결)(천원),"선급공사비,외주비(IFRS연결)(천원)",매출액(수익)(*)(IFRS연결)(천원),법인세비용차감전순이익(손실)(IFRS연결)(천원),법인세비용(IFRS연결)(천원),당기순이익(손실)(IFRS연결)(천원)
96,롯데에너지머티리얼즈(주),20150,2020/03,1041895433.0,113694146.0,212789549.0,579982540.0,101704662.0,7554734.0,0.0,137387499.0,19188940.0,1104878.0,18084062.0
97,롯데웰푸드(주),280360,2020/03,2717653000.0,256260347.0,1439814878.0,811886954.0,570593630.0,95895336.0,0.0,501758122.0,1052843.0,915442.0,137401.0
98,롯데정밀화학(주),4000,2020/03,1863997723.0,16100851.0,371026794.0,907740993.0,348741209.0,20983760.0,0.0,349932949.0,64561667.0,21490840.0,43070828.0
99,롯데지주(주),4990,2020/03,15590938825.0,693032781.0,7910541811.0,3212424318.0,3889273946.0,111412000.0,0.0,1995067181.0,-78122055.0,-16313086.0,-61808968.0
100,롯데칠성음료(주),5300,2020/03,3176306619.0,106232822.0,1984330139.0,710173943.0,1137912648.0,85576000.0,0.0,507375505.0,-4398798.0,-900197.0,-3498602.0
101,롯데케미칼(주),11170,2020/03,20045649924.0,1615420177.0,6070721067.0,6962845142.0,2803839058.0,455166975.0,0.0,3275609856.0,-127017145.0,-36831196.0,-90185949.0
102,메리츠증권(주),8560,2020/03,,,,,,,,,,,
103,미래에셋증권(주),6800,2020/03,,,,,,,,,,,
104,삼성SDI(주),6400,2020/03,19886909228.0,1323713487.0,7422640143.0,5387839092.0,3816071540.0,557520654.0,0.0,2397530030.0,-9635811.0,-10364343.0,728532.0
105,삼성물산(주),28260,2020/03,42407215087.0,2860589919.0,18820218434.0,12639052643.0,11493989010.0,314498000.0,0.0,6960092987.0,415871211.0,69293041.0,346578170.0
106,삼성바이오로직스(주),207940,2020/03,5944971454.0,40766901.0,1553373834.0,1428490588.0,674182950.0,115356071.0,0.0,207197182.0,47766178.0,11113152.0,36653026.0
107,삼성생명보험(주),32830,2020/03,,,,,,,,,,,
108,삼성에스디에스(주),18260,2020/03,8978924498.0,1536505399.0,2447385459.0,6363583085.0,1834153876.0,1376114.0,0.0,2436078896.0,202468343.0,232754461.0,-30286118.0
109,삼성엔지니어링(주),28050,2020/03,4571061386.0,684279911.0,3176867001.0,2926419895.0,2895212724.0,0.0,13062189.0,1592524663.0,101772005.0,32316853.0,69455152.0
110,삼성전기(주),9150,2020/03,9484493375.0,1246582095.0,3972526418.0,4255030882.0,2483766620.0,248223495.0,0.0,2224466256.0,156674088.0,31428913.0,133184216.0
111,삼성전자(주),5930,2020/03,357457535000.0,27916683000.0,91069812000.0,186739748000.0,64763290000.0,9341047000.0,0.0,55325178000.0,6756852000.0,1871926000.0,4884926000.0
112,삼성중공업(주),10140,2020/03,14811812349.0,503591629.0,9537887837.0,8011571744.0,7358254814.0,463989000.0,0.0,1826635992.0,-220093542.0,6927530.0,-227021072.0
113,삼성증권(주),16360,2020/03,,,,,,,,,,,
114,삼성카드(주),29780,2020/03,,,,,,,,,,,
115,삼성화재해상보험(주),810,2020/03,,,,,,,,,,,
116,세방전지(주),4490,2020/03,1515852308.0,158066082.0,453818358.0,941882853.0,428512680.0,39198604.0,0.0,317382015.0,26783099.0,6747617.0,20035481.0
117,신풍제약(주),19170,2020/03,390237607.0,27325322.0,178974064.0,233816696.0,139046896.0,14528896.0,0.0,49135774.0,3237562.0,1506627.0,1730934.0
118,쌍용씨앤이(주),3410,2020/03,3317494441.0,244237954.0,1556703486.0,730720310.0,696986122.0,25669244.0,0.0,313887466.0,21477913.0,1856487.0,19621426.0
119,씨에스윈드(주),112610,2020/03,792355968.0,59022964.0,408899966.0,478099537.0,305349286.0,89500956.0,0.0,181041113.0,17133850.0,3648800.0,13485050.0
120,씨제이(주),1040,2020/03,41216363830.0,1888660789.0,26156194583.0,11478643278.0,12566929444.0,738660000.0,0.0,7840010949.0,524746527.0,161451801.0,363294726.0
121,씨제이대한통운(주),120,2020/03,9431029632.0,408960338.0,5729652723.0,2567995888.0,2805333396.0,751000.0,0.0,2515360836.0,17348666.0,5990209.0,11358457.0
122,씨제이제일제당(주),97950,2020/03,26752549924.0,794969148.0,16688791875.0,7984828831.0,8174774968.0,801855000.0,0.0,5830942047.0,622158311.0,170233874.0,451924437.0
123,아시아나항공(주),20560,2020/03,13414348807.0,306301450.0,13204085378.0,1508466674.0,4895169852.0,705000.0,0.0,1293728160.0,-709766921.0,-26503009.0,-683263912.0
124,아이에스동서(주),10780,2020/03,2931076739.0,284364872.0,1681230108.0,1880982544.0,974719306.0,4203717.0,15521298.0,215711556.0,23077949.0,6588000.0,13297025.0
125,에스엘(주),5850,2020/03,2327020918.0,98163403.0,928356278.0,1434375872.0,754109247.0,6833456.0,0.0,612943096.0,17760060.0,8934263.0,8825798.0
126,에스케이(주),34730,2020/03,135139184000.0,11565789000.0,83778728000.0,40269945000.0,38260888000.0,1742054000.0,0.0,23726137000.0,-1122615000.0,-298694000.0,-832383000.0
