,회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),현금및현금성자산(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),원재료(부재료)(IFRS연결)(천원),"선급공사비,외주비(IFRS연결)(천원)",매출액(수익)(*)(IFRS연결)(천원),법인세비용차감전순이익(손실)(IFRS연결)(천원),법인세비용(IFRS연결)(천원),당기순이익(손실)(IFRS연결)(천원)
100,롯데지주(주),4990,2020/06,16549097847.0,838303931.0,8438989415.0,3834986157.0,4077968434.0,201947000.0,0.0,4084301566.0,-121876306.0,-20194192.0,-101682114.0
101,롯데칠성음료(주),5300,2020/06,3406569101.0,239748683.0,2196964363.0,871410294.0,926948450.0,79994000.0,0.0,1105372841.0,15001851.0,3014084.0,11987767.0
102,롯데케미칼(주),11170,2020/06,19115829730.0,1438098860.0,5186008561.0,5978186783.0,2246650329.0,355621448.0,0.0,5957815803.0,-92550522.0,-33015577.0,-59534945.0
103,메리츠증권(주),8560,2020/06,,,,,,,,,,,
104,명신산업(주),9900,2020/06,401458365.0,43941099.0,277387897.0,220940843.0,218720749.0,39310002.0,0.0,354760906.0,17911869.0,6022268.0,11889601.0
105,미래에셋증권(주),6800,2020/06,,,,,,,,,,,
106,삼성SDI(주),6400,2020/06,20539962732.0,1521816102.0,7887838810.0,5614982394.0,4754460320.0,563833773.0,0.0,4956144041.0,75955915.0,27530576.0,48425339.0
107,삼성물산(주),28260,2020/06,44850267545.0,3285871745.0,19600830267.0,13168000626.0,11929660716.0,324480048.0,0.0,14183442736.0,806827912.0,239512344.0,567315568.0
108,삼성바이오로직스(주),207940,2020/06,6032874721.0,68961750.0,1589676045.0,1516689246.0,833483684.0,115703585.0,0.0,514888308.0,115519865.0,26848162.0,88671703.0
109,삼성생명보험(주),32830,2020/06,,,,,,,,,,,
